100000000,0.6927529358,5761454
200000000,1.5407490117,11078936
300000000,2.2783710453,16252324
400000000,3.1714290402,21336325
500000000,3.9901179841,26355866
600000000,5.0118780170,31324702
700000000,5.5832778916,36252930
800000000,6.8093409411,41146178
900000000,7.3026679844,46009214
1000000000,8.0484920487,50847533
1100000000,9.4263940965,55662469
1200000000,10.0174689825,60454704
1300000000,10.3775840185,65228332
1400000000,11.0751651153,69985472
1500000000,11.9925879208,74726527
1600000000,13.9449501191,79451832
1700000000,14.2521269333,84163018
1800000000,14.9245509680,88862421
1900000000,16.3945279494,93547927
2000000000,16.6175600260,98222286
2100000000,17.4123429244,102886525
2200000000,19.2522830560,107540121
2300000000,20.0979319791,112184939
2400000000,20.6734950301,116818446
2500000000,22.0877529756,121443370
2600000000,22.0120630340,126062166
2700000000,24.0191830281,130670191
2800000000,24.7522308979,135270257
2900000000,24.3075119497,139864010
3000000000,26.5199970692,144449536
3100000000,27.7222269376,149028640
3200000000,28.7487220151,153600804
3300000000,29.6884060100,158165828
3400000000,29.7541698854,162725195
3500000000,31.0977290192,167279332
3600000000,30.4034039054,171827135
3700000000,32.2375419811,176369516
3800000000,31.9458291063,180906193
3900000000,33.7550660629,185436624
4000000000,35.4401829989,189961811
4100000000,37.5744409737,194481068
4200000000,36.3971849106,198996102
4300000000,39.4326350207,203507247
4400000000,39.6843409038,208013453
4500000000,40.9982160748,212514322
4600000000,42.0397039908,217011318
4700000000,40.0793179277,221504166
4800000000,43.8572569692,225991742
4900000000,43.4854021191,230475544
5000000000,44.1787881063,234954222
5100000000,44.9570290788,239429992
5200000000,46.6984629016,243902341
5300000000,47.6761140653,248370959
5400000000,47.4696160995,252834064
5500000000,46.6416440002,257294519
5600000000,48.1112979735,261751863
5700000000,49.1435140716,266206293
5800000000,52.7308600763,270655551
5900000000,50.6470239388,275101550
6000000000,52.0250790872,279545367
